date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
08-05-2020,98.06867176,35.89129389,71.35584142,90.22454196,31.51469217,62.51831062,78.00462208,46.48636922,55.06466476,155.7516982,,97.70594318
09-05-2020,110.6507257,44.10542239,72.82648801,101.5160479,35.24434248,64.48365074,89.64975811,44.19179142,56.09295271,159.5762323,51.42690701,47.51914767
10-05-2020,111.07999,46.91195925,77.19531237,102.1582367,38.43904579,65.78865399,87.42596792,42.90890263,56.67914852,65.188066,35.64219215,56.22222314
11-05-2020,112.7412879,45.97847063,66.11147253,97.87673949,40.86118575,62.8056871,89.16354949,42.61476359,50.41789958,66.69548183,33.10323278,19.28514655
12-05-2020,106.4225306,38.64053371,50.57545457,100.9995152,42.52347878,62.48664581,88.80835159,41.09114888,49.11267906,84.9011747,34.38980289,32.14481229
13-05-2020,88.69453288,44.73505202,36.30929136,102.2456177,47.90280178,55.58247173,87.13937913,42.31804212,48.08168743,67.11170954,69.11312529,26.37512716
14-05-2020,74.27791715,45.07714085,33.69953617,98.10250232,46.13543521,44.81753882,87.16464874,43.15029666,48.71172388,87.49315366,53.13735114,34.47037172
15-05-2020,73.61147521,51.37016825,29.59451596,84.68881062,49.13142006,35.9591358,87.45667629,41.00062257,49.23872321,61.85585629,67.10732914,35.69712206
16-05-2020,71.242954,54.27861746,31.23711657,69.72833112,48.59121603,33.09899322,85.62218952,42.43112055,48.79132198,54.85287581,47.64547884,27.49814961
17-05-2020,63.53627248,55.87028488,32.87882686,67.03971699,49.54920858,30.8320133,84.59897686,44.42144114,48.31033365,46.36776708,42.34814,40.35336373
18-05-2020,63.02164936,59.50140705,38.28320025,66.73159015,57.28713763,35.70513438,82.30416482,49.70592907,49.25541074,64.53859395,87.26873611,53.3969941
19-05-2020,56.90377328,58.04039545,42.74013687,63.70332606,58.9217791,39.22088332,83.78588946,51.3533328,50.85376457,,45.83229316,56.75505487
20-05-2020,55.13672929,55.77366203,45.23656744,61.64932119,57.2232214,42.33576157,83.50886545,52.56301159,48.95911665,54.78768033,,48.17927487
